% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.285	1	1	29	6	2	28	1095	0
0.286	1	2	29	7	1	28	1095	0
0.286	1	1	29	7	2	28	1095	0
0.287	1	2	29	8	1	28	1095	0
0.287	1	1	29	8	2	28	1095	0
0.288	1	2	29	9	1	28	1095	0
0.288	1	1	29	9	2	28	1095	0
0.289	1	2	29	10	1	28	1095	0
0.289	1	1	29	10	2	28	1095	0
0.29	1	2	30	1	1	28	1095	0
0.29	1	1	30	1	2	28	1095	0
0.291	1	2	30	2	1	28	1095	0
0.291	1	1	30	2	2	28	1095	0
0.292	1	2	30	3	1	28	1095	0
0.292	1	1	30	3	2	28	1095	0
0.293	1	2	30	4	1	28	1095	0
0.293	1	1	30	4	2	28	1095	0
0.294	1	2	30	5	1	28	1095	0
0.294	1	1	30	5	2	28	1095	0
0.295	1	2	30	6	1	28	1095	0
0.295	1	1	30	6	2	28	1095	0
0.296	1	2	30	7	1	28	1095	0
0.296	1	1	30	7	2	28	1095	0
0.297	1	2	30	8	1	28	1095	0
0.297	1	1	30	8	2	28	1095	0
0.298	1	2	30	9	1	28	1095	0
0.298	1	1	30	9	2	28	1095	0
0.299	1	2	30	10	1	28	1095	0
0.299	1	1	30	10	2	28	1095	0
0.3	1	2	31	1	1	28	1095	0
0.3	1	1	31	1	2	28	1095	0
0.301	1	2	31	2	1	28	1095	0
0.301	1	1	31	2	2	28	1095	0
0.302	1	2	31	3	1	28	1095	0
0.302	1	1	31	3	2	28	1095	0
0.303	1	2	31	4	1	28	1095	0
0.303	1	1	31	4	2	28	1095	0
0.304	1	2	31	5	1	28	1095	0
0.304	1	1	31	5	2	28	1095	0
0.305	1	2	31	6	1	28	1095	0
0.305	1	1	31	6	2	28	1095	0
0.306	1	2	31	7	1	28	1095	0
0.306	1	1	31	7	2	28	1095	0
0.307	1	2	31	8	1	28	1095	0
0.307	1	1	31	8	2	28	1095	0
0.308	1	2	31	9	1	28	1095	0
0.308	1	1	31	9	2	28	1095	0
0.309	1	2	31	10	1	28	1095	0
0.309	1	1	31	10	2	28	1095	0
0.31	1	2	32	1	1	28	1095	0
0.31	1	1	32	1	2	28	1095	0
0.311	1	2	32	2	1	28	1095	0
0.311	1	1	32	2	2	28	1095	0
0.312	1	2	32	3	1	28	1095	0
0.312	1	1	32	3	2	28	1095	0
0.313	1	2	32	4	1	28	1095	0
0.313	1	1	32	4	2	28	1095	0
0.314	1	2	32	5	1	28	1095	0
0.314	1	1	32	5	2	28	1095	0
0.315	1	2	32	6	1	28	1095	0
0.315	1	1	32	6	2	28	1095	0
0.316	1	2	32	7	1	28	1095	0
0.316	1	1	32	7	2	28	1095	0
0.317	1	2	32	8	1	28	1095	0
0.317	1	1	32	8	2	28	1095	0
0.318	1	2	32	9	1	28	1095	0
0.318	1	1	32	9	2	28	1095	0
0.319	1	2	32	10	1	28	1095	0
0.319	1	1	32	10	2	28	1095	0
0.32	1	2	33	1	1	28	1095	0
0.32	1	1	33	1	2	28	1095	0
0.321	1	2	33	2	1	28	1095	0
0.321	1	1	33	2	2	28	1095	0
0.322	1	2	33	3	1	28	1095	0
0.322	1	1	33	3	2	28	1095	0
0.323	1	2	33	4	1	28	1095	0
0.323	1	1	33	4	2	28	1095	0
0.324	1	2	33	5	1	28	1095	0
0.324	1	1	33	5	2	28	1095	0
0.325	1	2	33	6	1	28	1095	0
0.325	1	1	33	6	2	28	1095	0
0.326	1	2	33	7	1	28	1095	0
0.326	1	1	33	7	2	28	1095	0
0.327	1	2	33	8	1	28	1095	0
0.327	1	1	33	8	2	28	1095	0
0.328	1	2	33	9	1	28	1095	0
0.328	1	1	33	9	2	28	1095	0
0.329	1	2	33	10	1	28	1095	0
0.329	1	1	33	10	2	28	1095	0
0.33	1	2	34	1	1	28	1095	0
0.33	1	1	34	1	2	28	1095	0
0.331	1	2	34	2	1	28	1095	0
0.331	1	1	34	2	2	28	1095	0
0.332	1	2	34	3	1	28	1095	0
0.332	1	1	34	3	2	28	1095	0
0.333	1	2	34	4	1	28	1095	0
0.333	1	1	34	4	2	28	1095	0
0.334	1	2	34	5	1	28	1095	0
0.334	1	1	34	5	2	28	1095	0
0.335	1	2	34	6	1	28	1095	0
0.335	1	1	34	6	2	28	1095	0
0.336	1	2	34	7	1	28	1095	0
0.336	1	1	34	7	2	28	1095	0
0.337	1	2	34	8	1	28	1095	0
0.337	1	1	34	8	2	28	1095	0
0.338	1	2	34	9	1	28	1095	0
0.338	1	1	34	9	2	28	1095	0
0.339	1	2	34	10	1	28	1095	0
0.339	1	1	34	10	2	28	1095	0
0.34	1	2	35	1	1	28	1095	0
0.34	1	1	35	1	2	28	1095	0
0.341	1	2	35	2	1	28	1095	0
0.341	1	1	35	2	2	28	1095	0
0.342	1	2	35	3	1	28	1095	0
0.342	1	1	35	3	2	28	1095	0
0.343	1	2	35	4	1	28	1095	0
0.343	1	1	35	4	2	28	1095	0
0.344	1	2	35	5	1	28	1095	0
0.344	1	1	35	5	2	28	1095	0
0.345	1	2	35	6	1	28	1095	0
0.345	1	1	35	6	2	28	1095	0
0.346	1	2	35	7	1	28	1095	0
0.346	1	1	35	7	2	28	1095	0
0.347	1	2	35	8	1	28	1095	0
0.347	1	1	35	8	2	28	1095	0
0.348	1	2	35	9	1	28	1095	0
0.348	1	1	35	9	2	28	1095	0
0.349	1	2	35	10	1	28	1095	0
0.349	1	1	35	10	2	28	1095	0
0.35	1	2	36	1	1	28	1095	0
0.35	1	1	36	1	2	28	1095	0
0.351	1	2	36	2	1	28	1095	0
0.351	1	1	36	2	2	28	1095	0
0.352	1	2	36	3	1	28	1095	0
0.352	1	1	36	3	2	28	1095	0
0.353	1	2	36	4	1	28	1095	0
0.353	1	1	36	4	2	28	1095	0
0.354	1	2	36	5	1	28	1095	0
0.354	1	1	36	5	2	28	1095	0
0.355	1	2	36	6	1	28	1095	0
0.355	1	1	36	6	2	28	1095	0
